model_type,feature_set,features,n_features_before_encoding,validation_size,architecture,hidden_layers,hidden_nodes,learning_rate,epochs,train_rows,validation_rows,test_rows,train_seconds,validation_r2,validation_mae,validation_rmse,test_r2,test_mae,test_rmse
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x32,1,"(32,)",0.01,300,1992,352,586,0.20071312499931082,0.8268417235398605,18926.37694890154,27770.537962718197,0.8814531870193799,20901.747981031822,30829.446234541418
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x32,1,"(32,)",0.01,800,1992,352,586,0.20606633300485555,0.8268417235398605,18926.37694890154,27770.537962718197,0.8814531870193799,20901.747981031822,30829.446234541418
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x32,1,"(32,)",0.001,300,1992,352,586,0.665774875000352,0.8298604779211637,19209.23056070344,27527.40483621401,0.8803305112314492,21234.25423000832,30975.084536915852
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x32,1,"(32,)",0.001,800,1992,352,586,0.6601580840069801,0.8298604779211637,19209.23056070344,27527.40483621401,0.8803305112314492,21234.25423000832,30975.084536915852
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x32,1,"(32,)",0.0003,300,1992,352,586,0.9546500830037985,0.833381330781541,18870.021821506587,27241.090961799,0.8787726822428682,21272.85601444042,31176.045782831246
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x32,1,"(32,)",0.0003,800,1992,352,586,1.023231749990373,0.833410956157798,18761.860106232485,27238.669073995414,0.878992577403469,21191.057065285404,31147.75771485481
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x64,1,"(64,)",0.01,300,1992,352,586,0.2854673330002697,0.8188820156518507,19504.254051508484,28401.642322262032,0.8687257134193894,22295.32031783305,32442.22379485979
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x64,1,"(64,)",0.01,800,1992,352,586,0.28721395900356583,0.8188820156518507,19504.254051508484,28401.642322262032,0.8687257134193894,22295.32031783305,32442.22379485979
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x64,1,"(64,)",0.001,300,1992,352,586,0.752169875006075,0.8298243871754097,19370.998237893305,27530.324298656004,0.8793279143417699,21265.1929274364,31104.569289534724
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x64,1,"(64,)",0.001,800,1992,352,586,0.7531332090002252,0.8298243871754097,19370.998237893305,27530.324298656004,0.8793279143417699,21265.1929274364,31104.569289534724
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x64,1,"(64,)",0.0003,300,1992,352,586,1.092949249999947,0.8401135833356199,18647.00638932657,26685.076386904348,0.8829670701734136,20806.87649298257,30631.96246372768
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,1x64,1,"(64,)",0.0003,800,1992,352,586,1.23432791599771,0.8376697308198987,18897.30428083497,26888.242733296545,0.8832807246597383,20834.678668022098,30590.88727875294
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x64_32,2,"(64, 32)",0.01,300,1992,352,586,0.3199728749896167,0.7991069261672274,20998.37629768209,29911.979024756965,0.8641720789730976,22796.56483282337,33000.10404815028
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x64_32,2,"(64, 32)",0.01,800,1992,352,586,0.31810283300001174,0.7991069261672274,20998.37629768209,29911.979024756965,0.8641720789730976,22796.56483282337,33000.10404815028
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x64_32,2,"(64, 32)",0.001,300,1992,352,586,0.4547872920084046,0.815334526281783,19929.690949644977,28678.439620154855,0.8686524223717279,21609.28410629272,32451.27885374164
