experiment,layers,epochs,learning_rate,batch_size,dataset_size,train_accuracy,validation_accuracy,test_accuracy,weighted_f1_score,macro_f1_score
1,[16],5,0.001,32,56589,0.5132834315299988,0.5190246105194092,0.5083404014701725,0.5798155789644552,0.38385744172836894
2,[16],10,0.001,32,56589,0.5166705846786499,0.52020263671875,0.5108849307322589,0.5816882140193449,0.3898848386587231
3,[16],20,0.001,32,56589,0.5235921144485474,0.5177288055419922,0.515479219677693,0.5847066815532722,0.3974192367314144
4,[32],5,0.001,32,56589,0.5216187834739685,0.516315221786499,0.5119451512581283,0.5843469119812033,0.3820017522806298
5,[32],10,0.001,32,56589,0.5241517424583435,0.5542466640472412,0.5455894826123834,0.6117190758361156,0.40571356307459433
6,[32],20,0.001,32,56589,0.5191152095794678,0.5405819416046143,0.5286966355668645,0.5975848849825078,0.39979839239342235
7,[64],5,0.001,32,56589,0.5250942707061768,0.5537754893302917,0.538945433983602,0.6063114109844566,0.39553820025507475
8,[64],10,0.001,32,56589,0.5262723565101624,0.5013546943664551,0.4938507209499576,0.564877182861868,0.38899375661137064
9,[64],20,0.001,32,56589,0.5231208801269531,0.49852749705314636,0.49229573084534917,0.5625497252596864,0.3918817925168319
10,"[32, 16]",5,0.001,32,56589,0.5169945955276489,0.5165508389472961,0.5088351710489115,0.5780823668432451,0.3954529797625305
11,"[32, 16]",10,0.001,32,56589,0.5283635854721069,0.5019437074661255,0.4948402601074357,0.5651811703128022,0.3876678246044399
12,"[32, 16]",20,0.001,32,56589,0.5117813348770142,0.48215338587760925,0.4720101781170484,0.5424314692689686,0.3848938611112895
13,"[64, 32]",5,0.001,32,56589,0.5097196102142334,0.5032395124435425,0.4964659315804354,0.56695865211259,0.39188468724251574
14,"[64, 32]",10,0.001,32,56589,0.5119286179542542,0.5233832001686096,0.5110969748374329,0.5804996343334511,0.4003752624526638
15,"[64, 32]",20,0.001,32,56589,0.519556999206543,0.5067734718322754,0.49590048063330505,0.5647618057587044,0.39824300666978885
16,"[128, 64]",5,0.001,64,56589,0.5116634964942932,0.520084798336029,0.510178117048346,0.5793201438859352,0.39685926066061006
17,"[128, 64]",10,0.001,64,56589,0.5163760781288147,0.5094828605651855,0.49745547073791346,0.5673517686922909,0.39766020443871725
18,"[128, 64]",20,0.001,64,56589,0.5250942707061768,0.5047708749771118,0.488620299689002,0.558189133305726,0.3987827981178717
19,[32],5,0.01,32,56589,0.5017082691192627,0.49475792050361633,0.4874893977947413,0.5612676410137357,0.38304496871888477
20,[32],10,0.01,32,56589,0.5,0.46448343992233276,0.4541984732824427,0.5263684500382547,0.3706722255965765
21,[32],20,0.01,32,56589,0.5060379505157471,0.4415125548839569,0.4279756856092734,0.5028016364129265,0.35194855055062724
22,[32],5,0.0001,32,56589,0.425983726978302,0.4399811625480652,0.43207520497596835,0.5076238393875513,0.3406754289276063
23,[32],10,0.0001,32,56589,0.4760249853134155,0.47697019577026367,0.4724342663273961,0.5469119022319234,0.3631667858459287
24,[32],20,0.0001,32,56589,0.4994698464870453,0.4974673092365265,0.49943454905286966,0.5721249145531356,0.3769791719078765
25,"[64, 32, 16]",5,0.001,32,56589,0.48777687549591064,0.4730828106403351,0.4686174724342663,0.5392668371502705,0.3812682717220192
26,"[64, 32, 16]",10,0.001,32,56589,0.5124292969703674,0.5159618258476257,0.5088351710489115,0.5771391575252818,0.40317233148591497
27,"[64, 32, 16]",20,0.001,32,56589,0.5073927640914917,0.5019437074661255,0.4893977947413062,0.5608868923953171,0.3968819347908826
28,"[128, 64, 32]",5,0.001,64,56589,0.5035343766212463,0.5124278664588928,0.5013429459994345,0.5705016073291527,0.39794373471061606
29,"[128, 64, 32]",10,0.001,64,56589,0.5147855877876282,0.4637766480445862,0.4581566299123551,0.5264744982124737,0.3802480489538606
30,"[128, 64, 32]",20,0.001,64,56589,0.5265374779701233,0.5269171595573425,0.5169635284139101,0.5838780522751345,0.41608931892887063
