product_key,product_bk,product_name,product_type_code,product_type,product_line_code,product_line,introduction_date,production_cost,margin
1,-1,Unknown Product,,Unknown,,Unknown,,,
2,53,Firefly Climbing Lamp,8.0,Climbing Accessories,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,28.55,0.28
3,54,Firefly Charger,8.0,Climbing Accessories,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,35.33,0.33
4,55,Firefly Rechargeable Battery,8.0,Climbing Accessories,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,4.0,0.5
5,56,Granite Chalk Bag,8.0,Climbing Accessories,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,9.0,0.5
6,57,Granite Ice,9.0,Tools,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,40.0,0.5
7,58,Granite Hammer,9.0,Tools,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,57.13,0.28
8,59,Granite Shovel,9.0,Tools,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,46.15,0.23
9,60,Granite Grip,9.0,Tools,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,10.0,0.5
10,61,Granite Axe,9.0,Tools,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,20.0,0.5
11,62,Granite Extreme,9.0,Tools,2.0,Mountaineering Equipment,10-Jan-2024 12:00:00 AM,47.06,0.4
12,63,Mountain Man Analog,10.0,Watches,3.0,Personal Accessories,15-Feb-2014 12:00:00 AM,30.0,0.33
13,64,Mountain Man Digital,10.0,Watches,3.0,Personal Accessories,15-Feb-2014 12:00:00 AM,20.0,0.5
14,65,Mountain Man Deluxe,10.0,Watches,3.0,Personal Accessories,05-Mar-2016 12:00:00 AM,39.0,0.5
15,66,Mountain Man Combination,10.0,Watches,3.0,Personal Accessories,05-Mar-2016 12:00:00 AM,45.0,0.5
16,67,Mountain Man Extreme,10.0,Watches,3.0,Personal Accessories,26-Oct-2019 12:00:00 AM,116.19,0.51
17,68,Polar Sun,11.0,Eyewear,3.0,Personal Accessories,15-Feb-2014 12:00:00 AM,46.15,0.23
18,69,Polar Ice,11.0,Eyewear,3.0,Personal Accessories,15-Feb-2014 12:00:00 AM,73.33,0.33
19,70,Polar Sports,11.0,Eyewear,3.0,Personal Accessories,05-Mar-2016 12:00:00 AM,80.0,0.33
20,71,Polar Wave,11.0,Eyewear,3.0,Personal Accessories,05-Mar-2016 12:00:00 AM,60.0,0.33
21,72,Polar Extreme,11.0,Eyewear,3.0,Personal Accessories,26-Oct-2019 12:00:00 AM,72.5,0.5
