region_key,region_bk,city,region,country_code,country,territory_name
1,Winnipeg|Manitoba|4,Winnipeg,Manitoba,4,Canada,Americas
2,Montréal|Québec|4,Montréal,Québec,4,Canada,Americas
3,Fredericton|New Brunswick|4,Fredericton,New Brunswick,4,Canada,Americas
4,Sudbury|Ontario|4,Sudbury,Ontario,4,Canada,Americas
5,Tremblant|Québec|4,Tremblant,Québec,4,Canada,Americas
6,Regina|Saskatchewan|4,Regina,Saskatchewan,4,Canada,Americas
7,Whitehorse|Yukon|4,Whitehorse,Yukon,4,Canada,Americas
8,Toronto|Ontario|4,Toronto,Ontario,4,Canada,Americas
9,Vancouver|British Columbia|4,Vancouver,British Columbia,4,Canada,Americas
10,Victoria|British Columbia|4,Victoria,British Columbia,4,Canada,Americas
11,Hull|Québec|4,Hull,Québec,4,Canada,Americas
12,Ottawa|Ontario|4,Ottawa,Ontario,4,Canada,Americas
13,Halifax|Nova Scotia|4,Halifax,Nova Scotia,4,Canada,Americas
14,Dawson Creek|British Columbia|4,Dawson Creek,British Columbia,4,Canada,Americas
15,St. John's|Newfoundland|4,St. John's,Newfoundland,4,Canada,Americas
16,Charlottetown|Prince Edward Island|4,Charlottetown,Prince Edward Island,4,Canada,Americas
17,Frankfurt|Hessen|2,Frankfurt,Hessen,2,Germany,Central Europe
18,Berlin|Berlin|2,Berlin,Berlin,2,Germany,Central Europe
19,Bonn|Nordrhein-Westfalen|2,Bonn,Nordrhein-Westfalen,2,Germany,Central Europe
20,Hamburg|Hamburg|2,Hamburg,Hamburg,2,Germany,Central Europe
21,Dresden|Sachsen|2,Dresden,Sachsen,2,Germany,Central Europe
22,Düsseldorf|Nordrhein-Westfalen|2,Düsseldorf,Nordrhein-Westfalen,2,Germany,Central Europe
23,Mannheim|Baden-Württemberg|2,Mannheim,Baden-Württemberg,2,Germany,Central Europe
24,Mainz|Rheinland-Pfalz|2,Mainz,Rheinland-Pfalz,2,Germany,Central Europe
25,Hannover|Niedersachsen|2,Hannover,Niedersachsen,2,Germany,Central Europe
26,Kiel|Schleswig-Holstein|2,Kiel,Schleswig-Holstein,2,Germany,Central Europe
27,Schwerin|Mecklenburg-Vorpommern|2,Schwerin,Mecklenburg-Vorpommern,2,Germany,Central Europe
28,Potsdam|Brandenburg|2,Potsdam,Brandenburg,2,Germany,Central Europe
29,Bremen|Bremen|2,Bremen,Bremen,2,Germany,Central Europe
30,Saarbrücken|Saarland|2,Saarbrücken,Saarland,2,Germany,Central Europe
31,Freiburg|Baden-Württemberg|2,Freiburg,Baden-Württemberg,2,Germany,Central Europe
32,Erfurt|Thüringen|2,Erfurt,Thüringen,2,Germany,Central Europe
33,München|Bayern|2,München,Bayern,2,Germany,Central Europe
34,Magdeburg|Sachsen-Anhalt|2,Magdeburg,Sachsen-Anhalt,2,Germany,Central Europe
35,Hartford|Connecticut|3,Hartford,Connecticut,3,United States,Americas
36,Atlanta|Georgia|3,Atlanta,Georgia,3,United States,Americas
37,Baltimore|Maryland|3,Baltimore,Maryland,3,United States,Americas
38,Boston|Massachusetts|3,Boston,Massachusetts,3,United States,Americas
39,Buffalo|New York|3,Buffalo,New York,3,United States,Americas
40,New York|New York|3,New York,New York,3,United States,Americas
41,Billings|Montana|3,Billings,Montana,3,United States,Americas
42,Lincoln|Nebraska|3,Lincoln,Nebraska,3,United States,Americas
43,Cincinnati|Ohio|3,Cincinnati,Ohio,3,United States,Americas
