return_key,return_bk,date_key,product_key,customer_key,region_key,sales_staff_key,return_reason_key,return_quantity,original_quantity,unit_sale_price,return_value,gross_loss
1,1491,20240801,45,388,235,,5,8,8,123.56,988.48,287.44000000000005
2,1492,20231206,47,389,236,,2,2,22,151.77,303.54,127.08000000000001
3,1493,20240624,47,390,237,,4,22,22,134.63,2961.8599999999997,1240.1399999999999
4,1494,20240721,47,383,230,,3,20,20,126.16,2523.2,957.9999999999998
5,1496,20231007,56,386,233,,1,2,28,90.09,180.18,51.46000000000001
6,1497,20230807,57,386,233,,1,2,34,146.83,293.66,97.92000000000002
7,1499,20241104,67,390,237,,2,2,28,29.53,59.06,10.36
8,1500,20230729,68,382,229,,3,16,16,73.5,1176.0,484.48
9,1501,20241028,68,384,231,,2,4,50,66.65,266.6,99.52000000000001
10,1502,20250827,68,383,230,,5,30,30,70.0,2100.0,864.6
11,1503,20240412,69,384,231,,3,32,32,12.56,401.92,184.96
12,1504,20240623,71,383,230,,1,4,62,24.04,96.16,28.679999999999993
13,1505,20230626,73,384,231,,2,2,48,51.24,102.48,38.44
14,1506,20240709,75,382,229,,1,2,52,28.81,57.62,20.72
15,1507,20240707,77,383,230,,1,4,40,29.29,117.16,35.0
16,1508,20251208,78,384,231,,2,2,72,58.9,117.8,36.53999999999999
17,1509,20240815,79,385,232,,1,8,102,25.29,202.32,56.79999999999998
18,1510,20240922,79,386,233,,4,64,64,25.29,1618.56,454.39999999999986
19,1513,20241014,88,384,231,,5,12,12,29.06,348.71999999999997,160.2
20,1514,20250604,6,384,231,,5,24,24,70.0,1680.0,720.0
21,1515,20250715,9,386,233,,1,4,36,17.5,70.0,30.0
22,1516,20251203,10,386,233,,2,6,92,35.0,210.0,90.0
23,1517,20231120,14,387,234,,1,2,30,81.55,163.1,81.55999999999999
24,1519,20251213,17,390,237,,2,4,44,59.99,239.96,55.360000000000014
25,1522,20251005,28,387,234,,1,2,12,124.98,249.96,64.80000000000001
26,1525,20240711,46,380,228,,1,2,20,65.23,130.46,35.96000000000001
27,1527,20250719,51,381,227,,1,4,56,579.52,2318.08,425.79999999999995
28,1528,20240903,55,379,227,,5,82,82,2.05,168.1,84.45999999999998
29,1529,20240826,61,377,226,,3,10,10,14.52,145.2,43.4
30,1531,20240715,72,376,225,,2,2,68,25.94,51.88,15.480000000000004
31,1532,20250607,75,377,226,,2,4,52,27.01,108.04,35.84
32,1533,20240519,77,379,227,,2,2,38,30.84,61.68,20.6
33,1534,20250829,79,380,228,,1,6,82,22.54,135.24,27.42
34,1535,20250810,2,376,225,,1,4,42,37.13,148.52,34.32000000000001
35,1536,20240704,3,377,226,,1,2,32,48.95,97.9,29.180000000000007
36,1537,20241026,3,377,226,,2,2,42,48.95,97.9,29.180000000000007
37,1538,20251124,4,377,226,,2,8,112,7.0,56.0,24.0
38,1539,20250831,7,380,228,,5,28,28,71.98,2015.44,415.80000000000007
39,1542,20251205,20,376,225,,5,18,18,82.5,1485.0,405.0
40,1544,20250626,23,376,225,,2,2,56,14.85,29.7,6.84
41,1545,20251120,27,377,226,,2,2,34,94.05,188.1,29.72
42,1546,20250616,31,379,227,,2,2,26,27.5,55.0,15.0
43,1547,20240417,32,380,228,,1,2,22,92.56,185.12,69.4
44,1549,20240927,33,380,228,,4,16,16,113.73,1819.68,520.0
45,1561,20231223,40,17,2,,3,104,104,6.59,685.36,229.84
46,1562,20240212,41,6,5,,2,4,44,12.53,50.12,11.559999999999995
47,1563,20260125,42,11,9,,2,4,72,21.98,87.92,24.200000000000003
48,1564,20230407,43,17,2,,2,6,84,6.8,40.8,9.419999999999996
49,1565,20230125,44,18,8,,3,52,52,54.93,2856.36,859.5600000000001
50,1566,20230728,45,20,13,,4,20,20,129.72,2594.4,754.4
51,1567,20230719,46,18,8,,5,38,38,62.18,2362.84,524.3999999999999
52,1568,20230122,50,4,2,,1,4,38,370.13,1480.52,423.0
53,1569,20251127,50,6,5,,3,48,48,297.41,14275.68,2275.680000000001
54,1570,20230608,51,5,4,,5,154,154,613.34,94454.36,17351.180000000004
55,1571,20240819,54,17,2,,1,8,144,581.34,4650.72,614.4000000000001
56,1572,20250103,54,19,12,,5,32,32,693.75,22200.0,6054.719999999999
57,1573,20240925,55,20,13,,3,388,388,1.79,694.52,298.76
58,1575,20250216,59,12,9,,5,160,160,104.34,16694.4,4126.4000000000015
59,1576,20240417,68,12,9,,4,152,152,71.02,10795.039999999999,4445.999999999999
60,1577,20250701,68,26,15,,1,2,102,70.0,140.0,57.64
61,1578,20251222,69,10,9,,4,128,128,13.5,1728.0,864.0
62,1579,20240417,70,23,2,,2,12,144,13.64,163.68,70.08000000000001
63,1580,20250727,70,23,2,,2,6,214,13.11,78.66,33.66
64,1581,20230812,72,13,2,,4,208,208,26.97,5609.76,1528.7999999999995
65,1582,20250420,73,7,6,,2,8,398,41.22,329.76,104.79999999999998
66,1583,20240108,74,6,5,,5,88,88,26.54,2335.52,604.5599999999997
67,1584,20241202,74,18,8,,1,24,264,23.04,552.96,110.87999999999994
68,1585,20230311,76,17,2,,1,8,112,47.25,378.0,117.27999999999997
69,1586,20250903,76,17,2,,3,90,90,41.68,3751.2,1163.7
