satisfaction_key,year_num,sales_representative_bk,sales_staff_key,satisfaction_type_key,satisfaction_score
1,2004,4,1.0,5,5
2,2004,5,2.0,4,4
3,2004,6,3.0,3,3
4,2004,7,4.0,4,4
5,2004,12,5.0,4,4
6,2004,13,6.0,5,5
7,2004,14,7.0,2,2
8,2004,15,8.0,2,2
9,2004,16,9.0,4,4
10,2004,17,10.0,5,5
11,2004,18,11.0,5,5
12,2004,19,12.0,4,4
13,2004,20,13.0,5,5
14,2004,21,14.0,4,4
15,2004,22,15.0,4,4
16,2004,23,16.0,2,2
17,2004,24,17.0,4,4
18,2004,25,18.0,3,3
19,2004,26,19.0,3,3
20,2004,27,20.0,4,4
21,2004,28,21.0,1,1
22,2004,29,22.0,3,3
23,2004,30,23.0,4,4
24,2004,43,24.0,4,4
25,2004,44,25.0,3,3
26,2004,45,26.0,4,4
27,2004,46,27.0,4,4
28,2004,47,28.0,3,3
29,2004,48,29.0,5,5
30,2004,49,30.0,1,1
31,2004,50,31.0,3,3
32,2004,51,32.0,4,4
33,2004,52,33.0,5,5
34,2004,53,34.0,4,4
35,2004,54,35.0,4,4
36,2004,55,36.0,2,2
37,2004,56,37.0,3,3
38,2004,57,38.0,5,5
39,2004,58,39.0,4,4
40,2004,59,40.0,3,3
41,2004,60,41.0,2,2
42,2004,61,42.0,4,4
43,2004,62,43.0,3,3
44,2004,63,44.0,3,3
45,2004,64,45.0,1,1
46,2004,65,46.0,4,4
47,2004,66,47.0,3,3
48,2004,67,48.0,3,3
49,2004,68,49.0,4,4
50,2004,69,50.0,4,4
51,2004,70,51.0,1,1
52,2004,71,52.0,5,5
53,2004,72,53.0,5,5
54,2004,73,54.0,4,4
55,2004,74,55.0,3,3
56,2004,75,56.0,4,4
57,2004,76,57.0,4,4
58,2004,77,58.0,4,4
59,2004,78,59.0,4,4
60,2004,79,60.0,5,5
61,2004,80,61.0,4,4
62,2004,81,62.0,4,4
63,2004,83,63.0,3,3
64,2004,85,64.0,3,3
65,2004,87,65.0,5,5
66,2004,88,66.0,3,3
67,2004,89,67.0,4,4
68,2004,90,68.0,5,5
69,2004,91,69.0,4,4
70,2004,92,70.0,4,4
71,2004,93,71.0,4,4
72,2004,94,72.0,2,2
73,2004,95,73.0,2,2
74,2004,96,74.0,4,4
75,2004,98,76.0,3,3
76,2004,99,77.0,3,3
77,2004,100,78.0,1,1
78,2004,101,,4,4
79,2004,102,,4,4
80,2004,103,,3,3
81,2004,104,,4,4
82,2004,105,,5,5
83,2004,106,,3,3
84,2004,107,79.0,4,4
85,2004,108,80.0,4,4
86,2004,109,81.0,4,4
87,2004,110,82.0,2,2
88,2004,111,83.0,4,4
89,2004,112,84.0,5,5
90,2004,113,85.0,3,3
91,2004,114,86.0,3,3
92,2004,115,87.0,4,4
93,2004,116,88.0,4,4
94,2004,117,89.0,4,4
95,2004,118,90.0,4,4
96,2004,119,91.0,4,4
97,2004,120,92.0,4,4
98,2004,121,93.0,2,2
99,2004,122,94.0,4,4
100,2004,123,95.0,3,3
101,2004,124,96.0,3,3
102,2005,4,1.0,3,3
103,2005,5,2.0,2,2
104,2005,6,3.0,3,3
105,2005,7,4.0,3,3
106,2005,12,5.0,5,5
107,2005,13,6.0,4,4
