training_key,year_num,sales_representative_bk,sales_staff_key,course_key,courses_followed,course_cost
1,2004,4,1.0,7,1,750.0
2,2006,4,1.0,8,1,1000.0
3,2006,5,2.0,2,1,400.0
4,2005,5,2.0,3,1,600.0
5,2005,5,2.0,4,1,600.0
6,2004,5,2.0,5,1,750.0
7,2004,5,2.0,6,1,750.0
8,2004,5,2.0,7,1,750.0
9,2004,6,3.0,3,1,600.0
10,2004,6,3.0,5,1,750.0
11,2006,6,3.0,6,1,750.0
12,2004,7,4.0,2,1,400.0
13,2004,7,4.0,3,1,600.0
14,2005,7,4.0,5,1,750.0
15,2006,7,4.0,6,1,750.0
16,2004,12,5.0,2,1,400.0
17,2004,12,5.0,5,1,750.0
18,2004,12,5.0,6,1,750.0
19,2005,12,5.0,7,1,750.0
20,2006,12,5.0,8,1,1000.0
21,2005,13,6.0,7,1,750.0
22,2006,13,6.0,8,1,1000.0
23,2006,13,6.0,9,1,1000.0
24,2004,14,7.0,2,1,400.0
25,2005,14,7.0,7,1,750.0
26,2004,15,8.0,2,1,400.0
27,2005,15,8.0,3,1,600.0
28,2006,15,8.0,5,1,750.0
29,2004,16,9.0,2,1,400.0
30,2004,16,9.0,5,1,750.0
31,2005,16,9.0,6,1,750.0
32,2006,16,9.0,7,1,750.0
33,2004,17,10.0,8,1,1000.0
34,2006,17,10.0,9,1,1000.0
35,2006,18,11.0,2,1,400.0
36,2004,18,11.0,7,1,750.0
37,2006,18,11.0,8,1,1000.0
38,2006,18,11.0,9,1,1000.0
39,2004,19,12.0,2,1,400.0
40,2004,19,12.0,5,1,750.0
41,2005,19,12.0,6,1,750.0
42,2005,19,12.0,7,1,750.0
43,2004,20,13.0,7,1,750.0
44,2005,20,13.0,8,1,1000.0
45,2006,20,13.0,9,1,1000.0
46,2004,21,14.0,2,1,400.0
47,2004,21,14.0,5,1,750.0
48,2005,21,14.0,6,1,750.0
49,2004,21,14.0,7,1,750.0
50,2006,21,14.0,8,1,1000.0
51,2004,22,15.0,1,1,250.0
52,2004,22,15.0,2,1,400.0
53,2005,22,15.0,5,1,750.0
54,2006,22,15.0,6,1,750.0
55,2004,23,16.0,1,1,250.0
56,2004,23,16.0,2,1,400.0
57,2006,23,16.0,3,1,600.0
58,2006,23,16.0,4,1,600.0
59,2005,23,16.0,5,1,750.0
60,2005,23,16.0,6,1,750.0
61,2006,23,16.0,7,1,750.0
62,2004,24,17.0,1,1,250.0
63,2004,24,17.0,2,1,400.0
64,2005,24,17.0,5,1,750.0
65,2005,24,17.0,6,1,750.0
66,2005,24,17.0,7,1,750.0
67,2006,25,18.0,8,1,1000.0
68,2004,26,19.0,2,1,400.0
69,2004,26,19.0,5,1,750.0
70,2004,26,19.0,6,1,750.0
71,2005,26,19.0,7,1,750.0
72,2006,26,19.0,8,1,1000.0
73,2004,27,20.0,2,1,400.0
74,2004,27,20.0,5,1,750.0
75,2004,27,20.0,6,1,750.0
76,2005,27,20.0,7,1,750.0
77,2004,28,21.0,1,1,250.0
78,2004,28,21.0,2,1,400.0
79,2004,28,21.0,3,1,600.0
