experiment_id,hidden_layers,hidden_nodes,epochs,learning_rate,batch_size,activation,dropout,train_accuracy_last_epoch,validation_accuracy_last_epoch,test_accuracy,test_precision,test_recall,test_f1,final_train_loss,final_validation_loss
7,2,64,20,0.001,32,relu,0.0,0.7911955714225769,0.7634615302085876,0.78,0.8054607508532423,0.8602673147023087,0.8319623971797885,0.43005165457725525,0.49424096941947937
12,2,32,30,0.001,32,relu,0.0,0.7964878678321838,0.7490384578704834,0.7776923076923077,0.8156028368794326,0.8383961117861483,0.8268424206111444,0.4360467791557312,0.5001103281974792
6,2,32,20,0.001,32,relu,0.0,0.7827760577201843,0.7605769038200378,0.7769230769230769,0.8088064889918888,0.8481166464155528,0.8279952550415184,0.4524070620536804,0.4959089457988739
27,4,32,30,0.001,32,relu,0.1,0.8046668171882629,0.7576923370361328,0.7753846153846153,0.8281829419035847,0.8140947752126367,0.821078431372549,0.41615548729896545,0.4993034899234772
30,3,128,30,0.0005,32,relu,0.2,0.8337743282318115,0.7682692408561707,0.7746153846153846,0.8110328638497653,0.8396111786148238,0.8250746268656717,0.3704349100589752,0.5017032623291016
9,3,32,20,0.001,32,relu,0.0,0.7996150851249695,0.762499988079071,0.7738461538461539,0.8213851761846902,0.8213851761846902,0.8213851761846902,0.4184419810771942,0.4927128255367279
11,2,32,10,0.001,32,relu,0.0,0.7832571268081665,0.7644230723381042,0.7738461538461539,0.8079161816065192,0.8432563791008505,0.8252080856123662,0.468356728553772,0.5026360154151917
23,2,32,20,0.001,32,relu,0.1,0.7815732359886169,0.7605769038200378,0.7730769230769231,0.7959641255605381,0.8626974483596598,0.8279883381924198,0.45885685086250305,0.49763330817222595
22,3,32,30,0.001,32,tanh,0.0,0.7911955714225769,0.7576923370361328,0.7723076923076924,0.8046242774566474,0.8456865127582017,0.8246445497630331,0.4426061809062958,0.5082340240478516
20,2,32,20,0.001,32,tanh,0.0,0.7726725935935974,0.7490384578704834,0.7723076923076924,0.7970687711386697,0.8590522478736331,0.8269005847953217,0.46862655878067017,0.5128704309463501
5,2,16,20,0.001,32,relu,0.0,0.7786865234375,0.7634615302085876,0.7715384615384615,0.7988636363636363,0.8541919805589308,0.8256018790369936,0.46309542655944824,0.5012863874435425
18,2,32,20,0.001,64,relu,0.0,0.7789270877838135,0.7576923370361328,0.7715384615384615,0.8022988505747126,0.8481166464155528,0.8245717660956882,0.45977410674095154,0.5032628178596497
3,1,32,20,0.001,32,relu,0.0,0.771950900554657,0.7567307949066162,0.77,0.7984054669703873,0.8517618469015796,0.8242210464432687,0.47462359070777893,0.5030097365379333
17,2,32,20,0.001,16,relu,0.0,0.7955256104469299,0.7557692527770996,0.7692307692307693,0.825653798256538,0.8055893074119077,0.8154981549815498,0.43961191177368164,0.5154845118522644
21,2,64,20,0.001,32,tanh,0.0,0.7851816415786743,0.7596153616905212,0.7692307692307693,0.8094674556213017,0.8311057108140948,0.8201438848920863,0.4581280052661896,0.5039101839065552
19,2,32,20,0.001,128,relu,0.0,0.7760404348373413,0.762499988079071,0.7684615384615384,0.7993119266055045,0.8469015795868773,0.8224188790560472,0.46965163946151733,0.5067893266677856
16,2,32,20,0.01,32,relu,0.0,0.8152514100074768,0.7519230842590332,0.7676923076923077,0.8212083847102343,0.8092345078979344,0.8151774785801713,0.4003913700580597,0.5556994080543518
15,2,32,20,0.005,32,relu,0.0,0.813808023929596,0.7634615302085876,0.7676923076923077,0.7983963344788088,0.8469015795868773,0.8219339622641509,0.4013097584247589,0.5130123496055603
