player_x,rock_x,rock_y,dx,rock_speed,action
0.5,0.682,-0.04,0.182,0.6,1
0.5,0.682,-0.03,0.182,0.6,1
0.5,0.682,-0.02,0.182,0.6,1
0.5,0.682,-0.01,0.182,0.6,1
0.5,0.682,0.0,0.182,0.6,1
0.5,0.682,0.01,0.182,0.6,1
0.5,0.682,0.02,0.182,0.6,1
0.5,0.682,0.03,0.182,0.6,1
0.5,0.682,0.04,0.182,0.6,1
0.5,0.682,0.05,0.182,0.6,1
0.5,0.682,0.06,0.182,0.6,1
0.5,0.682,0.07,0.182,0.6,1
0.5,0.682,0.08,0.182,0.6,1
0.5,0.682,0.09,0.182,0.6,1
0.5,0.682,0.1,0.182,0.6,1
0.5,0.682,0.11,0.182,0.6,1
0.5,0.682,0.12,0.182,0.6,1
0.5,0.682,0.13,0.182,0.6,1
0.5,0.682,0.14,0.182,0.6,1
0.5,0.682,0.15,0.182,0.6,1
0.5,0.682,0.16,0.182,0.6,1
0.5,0.682,0.17,0.182,0.6,1
0.5,0.682,0.18,0.182,0.6,1
0.5,0.682,0.19,0.182,0.6,1
0.5,0.682,0.2,0.182,0.6,1
0.5,0.682,0.21,0.182,0.6,1
0.5,0.682,0.22,0.182,0.6,1
0.5,0.682,0.23,0.182,0.6,1
0.5,0.682,0.24,0.182,0.6,1
0.5,0.682,0.25,0.182,0.6,1
0.5,0.682,0.26,0.182,0.6,1
0.5,0.682,0.27,0.182,0.6,1
0.5,0.682,0.28,0.182,0.6,1
0.5,0.682,0.29,0.182,0.6,1
0.5,0.682,0.3,0.182,0.6,1
0.5,0.682,0.31,0.182,0.6,1
0.5,0.682,0.32,0.182,0.6,1
0.5,0.682,0.33,0.182,0.6,1
0.5,0.682,0.34,0.182,0.6,1
0.5,0.682,0.35,0.182,0.6,1
0.5,0.682,0.36,0.182,0.6,1
0.5,0.682,0.37,0.182,0.6,1
0.5,0.682,0.38,0.182,0.6,1
0.5,0.682,0.39,0.182,0.6,1
0.5,0.682,0.4,0.182,0.6,1
0.5,0.682,0.41,0.182,0.6,1
0.5,0.682,0.42,0.182,0.6,1
0.5,0.682,0.43,0.182,0.6,1
0.5,0.682,0.44,0.182,0.6,1
0.5,0.682,0.45,0.182,0.6,1
0.5,0.682,0.46,0.182,0.6,1
0.5,0.682,0.47,0.182,0.6,1
0.5,0.682,0.48,0.182,0.6,1
0.5,0.682,0.49,0.182,0.6,1
0.5,0.682,0.5,0.182,0.6,1
0.5,0.682,0.51,0.182,0.6,1
0.5,0.682,0.52,0.182,0.6,1
0.5,0.682,0.53,0.182,0.6,1
0.5,0.682,0.54,0.182,0.6,1
0.5,0.682,0.55,0.182,0.6,1
0.5,0.682,0.56,0.182,0.6,1
0.5,0.682,0.57,0.182,0.6,1
0.5,0.682,0.58,0.182,0.6,1
0.5,0.682,0.59,0.182,0.6,1
0.5,0.682,0.6,0.182,0.6,1
0.5,0.682,0.61,0.182,0.6,1
0.5,0.682,0.62,0.182,0.6,1
0.5,0.682,0.63,0.182,0.6,1
0.5,0.682,0.64,0.182,0.6,1
0.5,0.682,0.65,0.182,0.6,1
0.5,0.682,0.66,0.182,0.6,1
0.5,0.682,0.67,0.182,0.6,1
0.5,0.682,0.68,0.182,0.6,1
0.5,0.682,0.69,0.182,0.6,1
0.5,0.682,0.7,0.182,0.6,1
0.5,0.682,0.71,0.182,0.6,1
0.5,0.682,0.72,0.182,0.6,1
0.5,0.682,0.73,0.182,0.6,1
0.5,0.682,0.74,0.182,0.6,1
0.5,0.682,0.75,0.182,0.6,1
0.5,0.682,0.76,0.182,0.6,1
0.5,0.682,0.77,0.182,0.6,1
0.5,0.682,0.78,0.182,0.6,1
0.5,0.682,0.79,0.182,0.6,1
0.5,0.682,0.8,0.182,0.6,1
0.5,0.682,0.81,0.182,0.6,1
0.5,0.682,0.82,0.182,0.6,1
0.5,0.682,0.83,0.182,0.6,1
0.5,0.682,0.84,0.182,0.6,1
0.5,0.682,0.85,0.182,0.6,1
0.5,0.682,0.86,0.182,0.6,1
0.5,0.682,0.87,0.182,0.6,1
0.5,0.682,0.88,0.182,0.6,1
0.5,0.682,0.89,0.182,0.6,1
0.5,0.682,0.9,0.182,0.6,1
0.512,0.682,0.91,0.17,0.6,2
0.524,0.682,0.92,0.158,0.6,2
0.536,0.682,0.93,0.146,0.6,2
0.548,0.682,0.94,0.134,0.6,2
0.56,0.682,0.95,0.122,0.6,2
0.572,0.682,0.96,0.11,0.6,2
0.584,0.682,0.97,0.098,0.6,2
0.596,0.682,0.98,0.086,0.6,2
0.608,0.682,0.99,0.074,0.6,2
0.62,0.682,1.0,0.062,0.6,2
0.632,0.682,1.01,0.05,0.6,2
0.644,0.776,-0.03666666666666667,0.132,0.8,2
0.644,0.776,-0.023333333333333334,0.132,0.8,1
0.644,0.776,-0.01,0.132,0.8,1
0.644,0.776,0.0033333333333333335,0.132,0.8,1
0.644,0.776,0.016666666666666666,0.132,0.8,1
0.644,0.776,0.03,0.132,0.8,1
0.644,0.776,0.043333333333333335,0.132,0.8,1
0.644,0.776,0.056666666666666664,0.132,0.8,1
0.644,0.776,0.07,0.132,0.8,1
0.644,0.776,0.08333333333333333,0.132,0.8,1
0.644,0.776,0.09666666666666666,0.132,0.8,1
0.644,0.776,0.11,0.132,0.8,1
0.644,0.776,0.12333333333333334,0.132,0.8,1
0.644,0.776,0.13666666666666666,0.132,0.8,1
0.644,0.776,0.15,0.132,0.8,1
0.644,0.776,0.16333333333333333,0.132,0.8,1
0.644,0.776,0.17666666666666667,0.132,0.8,1
0.644,0.776,0.19,0.132,0.8,1
0.644,0.776,0.20333333333333334,0.132,0.8,1
0.644,0.776,0.21666666666666667,0.132,0.8,1
0.644,0.776,0.23,0.132,0.8,1
0.644,0.776,0.24333333333333335,0.132,0.8,1
0.644,0.776,0.25666666666666665,0.132,0.8,1
0.644,0.776,0.27,0.132,0.8,1
0.644,0.776,0.2833333333333333,0.132,0.8,1
0.644,0.776,0.2966666666666667,0.132,0.8,1
0.644,0.776,0.31,0.132,0.8,1
0.644,0.776,0.3233333333333333,0.132,0.8,1
0.632,0.776,0.33666666666666667,0.144,0.8,0
0.62,0.776,0.35,0.156,0.8,0
0.608,0.776,0.36333333333333334,0.168,0.8,0
0.596,0.776,0.37666666666666665,0.18,0.8,0
0.584,0.776,0.39,0.192,0.8,0
0.572,0.776,0.4033333333333333,0.204,0.8,0
0.56,0.776,0.4166666666666667,0.216,0.8,0
0.548,0.776,0.43,0.228,0.8,0
0.536,0.776,0.44333333333333336,0.24,0.8,0
0.524,0.776,0.45666666666666667,0.252,0.8,0
0.512,0.776,0.47,0.264,0.8,0
0.5,0.776,0.48333333333333334,0.276,0.8,0
0.488,0.776,0.49666666666666665,0.288,0.8,0
0.476,0.776,0.51,0.3,0.8,0
0.464,0.776,0.5233333333333333,0.312,0.8,0
0.452,0.776,0.5366666666666666,0.324,0.8,0
0.44,0.776,0.55,0.336,0.8,0
0.428,0.776,0.5633333333333334,0.348,0.8,0
0.416,0.776,0.5766666666666667,0.36,0.8,0
0.404,0.776,0.59,0.372,0.8,0
0.392,0.776,0.6033333333333334,0.384,0.8,0
0.38,0.776,0.6166666666666667,0.396,0.8,0
0.368,0.776,0.63,0.408,0.8,0
0.368,0.776,0.6433333333333333,0.408,0.8,1
0.368,0.776,0.6566666666666666,0.408,0.8,1
0.368,0.776,0.67,0.408,0.8,1
0.368,0.776,0.6833333333333333,0.408,0.8,1
0.368,0.776,0.6966666666666667,0.408,0.8,1
0.368,0.776,0.71,0.408,0.8,1
0.368,0.776,0.7233333333333334,0.408,0.8,1
0.368,0.776,0.7366666666666667,0.408,0.8,1
0.368,0.776,0.75,0.408,0.8,1
0.368,0.776,0.7633333333333333,0.408,0.8,1
0.368,0.776,0.7766666666666666,0.408,0.8,1
0.368,0.776,0.79,0.408,0.8,1
0.368,0.776,0.8033333333333333,0.408,0.8,1
0.368,0.776,0.8166666666666667,0.408,0.8,1
0.368,0.776,0.83,0.408,0.8,1
0.368,0.776,0.8433333333333334,0.408,0.8,1
0.368,0.776,0.8566666666666667,0.408,0.8,1
0.38,0.776,0.87,0.396,0.8,2
0.392,0.776,0.8833333333333333,0.384,0.8,2
0.404,0.776,0.8966666666666666,0.372,0.8,2
0.416,0.776,0.91,0.36,0.8,2
0.428,0.776,0.9233333333333333,0.348,0.8,2
0.44,0.776,0.9366666666666666,0.336,0.8,2
0.452,0.776,0.95,0.324,0.8,2
0.464,0.776,0.9633333333333334,0.312,0.8,2
0.476,0.776,0.9766666666666667,0.3,0.8,2
0.488,0.776,0.99,0.288,0.8,2
0.5,0.776,1.0033333333333334,0.276,0.8,2
0.512,0.208,-0.03666666666666667,-0.304,0.8,2
0.512,0.208,-0.023333333333333334,-0.304,0.8,1
0.512,0.208,-0.01,-0.304,0.8,1
0.512,0.208,0.0033333333333333335,-0.304,0.8,1
0.512,0.208,0.016666666666666666,-0.304,0.8,1
0.512,0.208,0.03,-0.304,0.8,1
0.512,0.208,0.043333333333333335,-0.304,0.8,1
0.512,0.208,0.056666666666666664,-0.304,0.8,1
0.5,0.208,0.07,-0.292,0.8,0
0.488,0.208,0.08333333333333333,-0.28,0.8,0
0.476,0.208,0.09666666666666666,-0.268,0.8,0
0.464,0.208,0.11,-0.256,0.8,0
0.452,0.208,0.12333333333333334,-0.244,0.8,0
0.44,0.208,0.13666666666666666,-0.232,0.8,0
0.428,0.208,0.15,-0.22,0.8,0
0.416,0.208,0.16333333333333333,-0.208,0.8,0
0.404,0.208,0.17666666666666667,-0.196,0.8,0
0.392,0.208,0.19,-0.184,0.8,0
0.38,0.208,0.20333333333333334,-0.172,0.8,0
0.368,0.208,0.21666666666666667,-0.16,0.8,0
0.356,0.208,0.23,-0.148,0.8,0
0.344,0.208,0.24333333333333335,-0.136,0.8,0
0.356,0.208,0.25666666666666665,-0.148,0.8,2
0.368,0.208,0.27,-0.16,0.8,2
0.38,0.208,0.2833333333333333,-0.172,0.8,2
0.392,0.208,0.2966666666666667,-0.184,0.8,2
0.404,0.208,0.31,-0.196,0.8,2
0.416,0.208,0.3233333333333333,-0.208,0.8,2
0.428,0.208,0.33666666666666667,-0.22,0.8,2
0.44,0.208,0.35,-0.232,0.8,2
0.452,0.208,0.36333333333333334,-0.244,0.8,2
0.464,0.208,0.37666666666666665,-0.256,0.8,2
0.476,0.208,0.39,-0.268,0.8,2
0.488,0.208,0.4033333333333333,-0.28,0.8,2
0.5,0.208,0.4166666666666667,-0.292,0.8,2
0.512,0.208,0.43,-0.304,0.8,2
0.524,0.208,0.44333333333333336,-0.316,0.8,2
0.536,0.208,0.45666666666666667,-0.328,0.8,2
0.548,0.208,0.47,-0.34,0.8,2
0.56,0.208,0.48333333333333334,-0.352,0.8,2
0.572,0.208,0.49666666666666665,-0.364,0.8,2
0.584,0.208,0.51,-0.376,0.8,2
0.596,0.208,0.5233333333333333,-0.388,0.8,2
0.608,0.208,0.5366666666666666,-0.4,0.8,2
0.62,0.208,0.55,-0.412,0.8,2
0.632,0.208,0.5633333333333334,-0.424,0.8,2
0.644,0.208,0.5766666666666667,-0.436,0.8,2
0.656,0.208,0.59,-0.448,0.8,2
0.668,0.208,0.6033333333333334,-0.46,0.8,2
0.68,0.208,0.6166666666666667,-0.472,0.8,2
0.692,0.208,0.63,-0.484,0.8,2
0.704,0.208,0.6433333333333333,-0.496,0.8,2
0.716,0.208,0.6566666666666666,-0.508,0.8,2
0.728,0.208,0.67,-0.52,0.8,2
0.74,0.208,0.6833333333333333,-0.532,0.8,2
0.752,0.208,0.6966666666666667,-0.544,0.8,2
0.764,0.208,0.71,-0.556,0.8,2
0.776,0.208,0.7233333333333334,-0.568,0.8,2
0.788,0.208,0.7366666666666667,-0.58,0.8,2
0.8,0.208,0.75,-0.592,0.8,2
0.812,0.208,0.7633333333333333,-0.604,0.8,2
0.824,0.208,0.7766666666666666,-0.616,0.8,2
0.824,0.208,0.79,-0.616,0.8,1
0.824,0.208,0.8033333333333333,-0.616,0.8,1
0.824,0.208,0.8166666666666667,-0.616,0.8,1
0.824,0.208,0.83,-0.616,0.8,1
0.824,0.208,0.8433333333333334,-0.616,0.8,1
0.824,0.208,0.8566666666666667,-0.616,0.8,1
0.812,0.208,0.87,-0.604,0.8,0
0.8,0.208,0.8833333333333333,-0.592,0.8,0
0.788,0.208,0.8966666666666666,-0.58,0.8,0
0.776,0.208,0.91,-0.568,0.8,0
0.764,0.208,0.9233333333333333,-0.556,0.8,0
0.752,0.208,0.9366666666666666,-0.544,0.8,0
0.74,0.208,0.95,-0.532,0.8,0
0.728,0.208,0.9633333333333334,-0.52,0.8,0
0.716,0.208,0.9766666666666667,-0.508,0.8,0
0.704,0.208,0.99,-0.496,0.8,0
0.692,0.208,1.0033333333333334,-0.484,0.8,0
0.68,0.276,-0.04,-0.404,0.6,0
0.668,0.276,-0.03,-0.392,0.6,0
0.656,0.276,-0.02,-0.38,0.6,0
0.656,0.276,-0.01,-0.38,0.6,1
0.656,0.276,0.0,-0.38,0.6,1
0.656,0.276,0.01,-0.38,0.6,1
0.656,0.276,0.02,-0.38,0.6,1
0.656,0.276,0.03,-0.38,0.6,1
0.656,0.276,0.04,-0.38,0.6,1
0.668,0.276,0.05,-0.392,0.6,2
0.68,0.276,0.06,-0.404,0.6,2
0.692,0.276,0.07,-0.416,0.6,2
0.704,0.276,0.08,-0.428,0.6,2
0.716,0.276,0.09,-0.44,0.6,2
0.728,0.276,0.1,-0.452,0.6,2
0.74,0.276,0.11,-0.464,0.6,2
0.752,0.276,0.12,-0.476,0.6,2
0.764,0.276,0.13,-0.488,0.6,2
0.776,0.276,0.14,-0.5,0.6,2
0.788,0.276,0.15,-0.512,0.6,2
0.8,0.276,0.16,-0.524,0.6,2
0.812,0.276,0.17,-0.536,0.6,2
0.824,0.276,0.18,-0.548,0.6,2
0.836,0.276,0.19,-0.56,0.6,2
0.848,0.276,0.2,-0.572,0.6,2
0.86,0.276,0.21,-0.584,0.6,2
0.872,0.276,0.22,-0.596,0.6,2
0.884,0.276,0.23,-0.608,0.6,2
0.896,0.276,0.24,-0.62,0.6,2
0.896,0.276,0.25,-0.62,0.6,1
0.884,0.276,0.26,-0.608,0.6,0
0.872,0.276,0.27,-0.596,0.6,0
0.86,0.276,0.28,-0.584,0.6,0
0.848,0.276,0.29,-0.572,0.6,0
0.836,0.276,0.3,-0.56,0.6,0
0.824,0.276,0.31,-0.548,0.6,0
0.812,0.276,0.32,-0.536,0.6,0
0.8,0.276,0.33,-0.524,0.6,0
0.788,0.276,0.34,-0.512,0.6,0
0.776,0.276,0.35,-0.5,0.6,0
0.764,0.276,0.36,-0.488,0.6,0
0.752,0.276,0.37,-0.476,0.6,0
0.74,0.276,0.38,-0.464,0.6,0
0.728,0.276,0.39,-0.452,0.6,0
0.716,0.276,0.4,-0.44,0.6,0
0.704,0.276,0.41,-0.428,0.6,0
0.692,0.276,0.42,-0.416,0.6,0
0.692,0.276,0.43,-0.416,0.6,1
0.692,0.276,0.44,-0.416,0.6,1
0.692,0.276,0.45,-0.416,0.6,1
0.692,0.276,0.46,-0.416,0.6,1
0.692,0.276,0.47,-0.416,0.6,1
0.692,0.276,0.48,-0.416,0.6,1
0.692,0.276,0.49,-0.416,0.6,1
0.692,0.276,0.5,-0.416,0.6,1
0.692,0.276,0.51,-0.416,0.6,1
0.692,0.276,0.52,-0.416,0.6,1
0.692,0.276,0.53,-0.416,0.6,1
0.68,0.276,0.54,-0.404,0.6,0
0.668,0.276,0.55,-0.392,0.6,0
0.656,0.276,0.56,-0.38,0.6,0
0.644,0.276,0.57,-0.368,0.6,0
0.632,0.276,0.58,-0.356,0.6,0
0.62,0.276,0.59,-0.344,0.6,0
0.608,0.276,0.6,-0.332,0.6,0
0.596,0.276,0.61,-0.32,0.6,0
0.584,0.276,0.62,-0.308,0.6,0
0.572,0.276,0.63,-0.296,0.6,0
0.56,0.276,0.64,-0.284,0.6,0
0.56,0.276,0.65,-0.284,0.6,1
0.56,0.276,0.66,-0.284,0.6,1
0.56,0.276,0.67,-0.284,0.6,1
0.56,0.276,0.68,-0.284,0.6,1
0.56,0.276,0.69,-0.284,0.6,1
0.56,0.276,0.7,-0.284,0.6,1
0.56,0.276,0.71,-0.284,0.6,1
0.572,0.276,0.72,-0.296,0.6,2
0.584,0.276,0.73,-0.308,0.6,2
0.596,0.276,0.74,-0.32,0.6,2
0.608,0.276,0.75,-0.332,0.6,2
0.62,0.276,0.76,-0.344,0.6,2
0.632,0.276,0.77,-0.356,0.6,2
0.644,0.276,0.78,-0.368,0.6,2
0.656,0.276,0.79,-0.38,0.6,2
0.668,0.276,0.8,-0.392,0.6,2
0.68,0.276,0.81,-0.404,0.6,2
0.692,0.276,0.82,-0.416,0.6,2
0.704,0.276,0.83,-0.428,0.6,2
0.716,0.276,0.84,-0.44,0.6,2
0.728,0.276,0.85,-0.452,0.6,2
0.728,0.276,0.86,-0.452,0.6,1
0.728,0.276,0.87,-0.452,0.6,1
0.716,0.276,0.88,-0.44,0.6,0
0.704,0.276,0.89,-0.428,0.6,0
0.692,0.276,0.9,-0.416,0.6,0
0.68,0.276,0.91,-0.404,0.6,0
0.668,0.276,0.92,-0.392,0.6,0
0.656,0.276,0.93,-0.38,0.6,0
0.644,0.276,0.94,-0.368,0.6,0
0.632,0.276,0.95,-0.356,0.6,0
0.62,0.276,0.96,-0.344,0.6,0
0.608,0.276,0.97,-0.332,0.6,0
0.596,0.276,0.98,-0.32,0.6,0
0.584,0.276,0.99,-0.308,0.6,0
0.572,0.276,1.0,-0.296,0.6,0
0.56,0.276,1.01,-0.284,0.6,0
0.548,0.37,-0.03833333333333333,-0.178,0.7,0
0.536,0.37,-0.02666666666666667,-0.166,0.7,0
0.524,0.37,-0.015,-0.154,0.7,0
0.512,0.37,-0.0033333333333333335,-0.142,0.7,0
0.5,0.37,0.008333333333333333,-0.13,0.7,0
