experiment,layers,epochs,learning_rate,batch_size,dataset_size,train_accuracy,validation_accuracy,test_accuracy,f1_score
1,[16],5,0.001,32,8085,0.6808247566223145,0.692497968673706,0.6844708209693373,0.5624770247570751
2,[16],10,0.001,32,8085,0.6865979433059692,0.6949711441993713,0.6879327398615233,0.5607468157910219
3,[16],20,0.001,32,8085,0.6808247566223145,0.690024733543396,0.6859545004945599,0.567352574600618
4,[32],5,0.001,32,8085,0.6857731938362122,0.6949711441993713,0.6879327398615233,0.5607468157910219
5,[32],10,0.001,32,8085,0.6857731938362122,0.6949711441993713,0.6884272997032641,0.5622201026033067
6,[32],20,0.001,32,8085,0.6859793663024902,0.6933223605155945,0.6913946587537092,0.5743774297537605
7,[64],5,0.001,32,8085,0.6845360994338989,0.6949711441993713,0.6879327398615233,0.5607468157910219
8,[64],10,0.001,32,8085,0.684742271900177,0.6933223605155945,0.685459940652819,0.5695746398482405
9,[64],20,0.001,32,8085,0.6868041157722473,0.6966199278831482,0.6904055390702275,0.5698892689486567
10,"[32, 16]",5,0.001,32,8085,0.6859793663024902,0.6949711441993713,0.6879327398615233,0.5607468157910219
11,"[32, 16]",10,0.001,32,8085,0.6865979433059692,0.6933223605155945,0.6824925816023739,0.5712169554050552
12,"[32, 16]",20,0.001,32,8085,0.6938144564628601,0.7089859843254089,0.688921859545005,0.5949175419004836
13,"[64, 32]",5,0.001,32,8085,0.6859793663024902,0.6999175548553467,0.6899109792284867,0.5701587014411894
14,"[64, 32]",10,0.001,32,8085,0.6925773024559021,0.7089859843254089,0.6879327398615233,0.5843154480714006
15,"[64, 32]",20,0.001,32,8085,0.7111340165138245,0.7098103761672974,0.6958456973293768,0.6284676059411644
16,"[128, 64]",5,0.001,64,8085,0.6898968815803528,0.6949711441993713,0.6909000989119684,0.5856324454978025
17,"[128, 64]",10,0.001,64,8085,0.6964948177337646,0.7040395736694336,0.688921859545005,0.5721924846279685
18,"[128, 64]",20,0.001,64,8085,0.7113401889801025,0.7155811786651611,0.7047477744807121,0.6365817374952089
19,[32],5,0.01,32,8085,0.684742271900177,0.6817806959152222,0.6775469831849654,0.5841491658528042
20,[32],10,0.01,32,8085,0.6861855387687683,0.7065127491950989,0.6874381800197824,0.5906989260631653
21,[32],20,0.01,32,8085,0.6890721917152405,0.6957955360412598,0.6938674579624134,0.6024251128315881
22,[32],5,0.0001,32,8085,0.6857731938362122,0.6949711441993713,0.6879327398615233,0.5607468157910219
23,[32],10,0.0001,32,8085,0.6857731938362122,0.6949711441993713,0.6879327398615233,0.5607468157910219
24,[32],20,0.0001,32,8085,0.6839175224304199,0.6941467523574829,0.6879327398615233,0.5607468157910219
25,"[64, 32, 16]",5,0.001,32,8085,0.6865979433059692,0.6949711441993713,0.688921859545005,0.5630415933421696
26,"[64, 32, 16]",10,0.001,32,8085,0.6967010498046875,0.7056883573532104,0.6938674579624134,0.5794907417130176
27,"[64, 32, 16]",20,0.001,32,8085,0.716288685798645,0.7230008244514465,0.6993076162215628,0.6190448374835771
28,"[128, 64, 32]",5,0.001,64,8085,0.6898968815803528,0.6982687711715698,0.6815034619188922,0.5705367649359917
29,"[128, 64, 32]",10,0.001,64,8085,0.7010309100151062,0.7040395736694336,0.6829871414441148,0.6245564626539131
30,"[128, 64, 32]",20,0.001,64,8085,0.7235051393508911,0.7246496081352234,0.6968348170128585,0.6418363911843193
